text,label
最开始在网上选手机的时候第一眼就看中这款手机了，现在买手机主要就是颜值，毕竟吗现在手机配置次要，不是太渣无所谓了除非游戏发烧友，至于我画质党手机游戏画质看不上啊。买时主要还是看中它的玻璃后盖，犹豫了很久没买，又看中了坚果por2，最后妈妈还是选中了这款手机。拿到手后，毛线，玻璃机身这丫是塑料吧，一点玻璃手感没有，全面屏也是很假，就是看着很假，跟友商全面比起来，很假，感觉是忽悠人的，单论配置也许值这个价钱，额，想了想这个配置要啥颜值对不，鱼和熊掌不可兼得。。。追求颜值党还是稳住吧。。麒麟处理器不清楚定位如何颜值嘛很假的玻璃机身，很假的全面屏，额前面是不是说过。说实在话不如*元前面屏更好看更真，不过嘛所谓全面屏都是假啊。。很介意一件事情为什么不带个膜啊，哪怕是个塑料膜都成，上面印有logo的那种都成，非常介意啊！！！！！。快充没有，给妈妈买的时候特地问过妈妈说无所谓，最后又看宣传说是两小时半充满，想想差不多，买来之后额。总结配置玩玩一些大型手机游戏比如近地轨道现代战争死亡扳机没问题在意颜值电量重度用户谨慎谨慎客服小姐姐我不管就是小姐姐态度非常好。长得还漂亮。,1
不错，发货速度快，性价比高，运行不错，外观也漂亮，给婆婆买的，声音大，好用,2
塑料感特别强，感觉能掰开， 挺小的   和网上的图片差别很大 完全不是那样的感觉 特别是这个电量 上面说22小时通话 25天待机 根本不现实 打电话二十分钟就能掉一格电 还有那个 待机 18号充满电  中途打了两三次电话 一共有40分钟左右 到26号晚上就自动关机了  屏幕亮度不能调节 晚上看个时间忒刺眼  买的双卡的 信号一般般 稍微密集一点的地方电话都打不出去 可以设置密码  179买的 过了一星期左右又降价 找人客服也没人搭理 真心不值 。,1
为了给这个商品好评，我走了几十公里的山路来到镇上，脚上磨起了许多豆大的水泡，鞋子也开胶了。本来想把家里的苞谷卖掉几十斤，在镇上坐车到城里的网吧给这个商品好评，无奈天公不作美，今年收成不好，种的粮食只够家里吃，所以我只好在镇上的砖窑里打工，挣足路费。从砖窑搬一块砖到车上只给一分钱，为了100块的车费，我搬了一万块砖，十个手指头都磨出了鲜血，为了省下车费，我没贴云南白药创可贴，让血液自然凝结。之后拿到搬砖钱，我坐上了从镇上开往城里的汽车。来到网吧，一摸兜里，没有三块钱的上网费了，少搬了300块砖。我只好在大街上四处奔走，守望着那些喝矿泉水的人们，当他们将矿泉水瓶从手中抛出的那一刹那，我就像守门员扑球般扑去了，生怕矿泉水瓶被别人抢去了，历尽千辛万苦，我终于收集到60个珍贵的矿泉水瓶子，拿到废品收购站换了3块钱的网费，迫不及待来到网吧，打开京东网站的第一件事就是点五星好评,2
不能直接调音量大小。,1
首先说一下最近的体验吧～ 首先感觉这个手机音质不是太好 而且出声孔在下方～ 还有就是我用蓝牙耳机连这手机玩王者荣耀一连接就有杂音 断了也还有杂音要退了重进游戏才没了～但是连蓝牙用于其它音频软件是没有杂音的 而且用这蓝牙耳机连其它手机是一点问题没有的 不懂是手机问题还是什么 最后一个就是 那个修改设置的问题 我前天抄投标文件然后吧手机设置为永不暗屏 但是过了一会它暗了 我进去设置那里看它自动变为不操作一分钟熄屏 之后又都试了几次还是   其它我觉得这手机还是挺好用～毕竟用管了小米的 所以就中评吧,1
新入手，感觉很快很流畅，没有卡顿，运存也很大，足够用的了目测外表没有什么问题，内部的话使用一段时间看看怎么样,2
包装完好，外观时尚好看，运行流畅，送给我母亲的新年礼物,2
这几天我都很痛苦，徘徊迷离于虚幻里，挣扎在水与火之间，我骗了大家！直到今天早上看到镜子里的我那张惊为天人的英俊面庞时，我在想有这样的容颜怎么能做出如此难以启齿虚伪的事情，所以我承认我并不是化学博士。,1
电池又窄又小又溥，完全不存电，充满电待机几个小时就没电了，并且线不是通用的线，是专用的，然后充电器头子也有问题，我又换了个我以前手机的充电器头子，现在都没用了，丢在家里杂物箱里。太垃圾了。,1
高大上，没有想象那么大，性价比很高的一款手机，推荐购买，本来想买别的型号，买就买性价比很高的手机，喜欢&hellip;&hellip;,2
5电池缩水，相较note5note6，在极限省电模式下，待机预测时间减少了至少一天。,2
荣耀很不错。这款手机性价比很高。使用很流畅。内存很大。足够使用，拍照效果蛮好的。非常满意。蓝色很漂亮。朋友都说很喜欢呢。,2
&nbsp; 用着出厂的系统感觉挺流畅（flyme5），目前不打算升级,2
没想到1500的625都能做的这么棒，有了MIUI的加持，主打摄像的小米5X一点问题都没有，好用不多说，谁用谁知道，让我这个米粉更忠实了,2
为什么没有耳机啊？！看他们晒得图都有耳机，标配不是有耳机吗？这么信任京东，居然这样,0
刚收到百分之三十的电用了一晚上。充电充到90两小时左右，我觉得挺快的,2
手机外观没问题，先用几天在评论,1
快递给力      东西不错     很满意    ，     如果给赠送钢化膜就更好了&hellip;&hellip;,2
刚收到货，不知道好不好用,2
商标还是原来的商标，但手机早已不是原来的手机了。本来还很高兴诺基亚重新做手机了，没想到换来的确是失望，诺基亚已死！,1
手机外观挺漂亮的，后面的玻璃听说很容易碎，卖了手机壳还没到，手机卡了一次，拍照边缘有虚化，充电耍手机边缘有电触手的感觉。,1
老人机，中兴是个不错码品牌，电池实打实不带虚的，不错的选择。好用简单，操作简单。功能实用。,2
一星也不想给太差了。'刚回到家里来，手机就出现屏幕裂纹了。而且手机特别的厚。特别沉，用起来不怎么方便。客服还有点想吵架的感觉。一点也不耐心。老是抬杠。要求退货，还非得找个理由。京东也不过如此。上面介绍的多么多么好，买回来也不过如此。祝商家越干越赔。拿到家里来，没有几天就出现了一道裂痕，不知道以后会怎么样？客服也特别的不耐心特别想吵架。。总之就是叉叉叉叉叉。客服总是说一些没用的废话，老想抬杠。,0
键盘特别不稳，没几天就脱落多次，希改正。装Tf卡的卡子也很容易烂,0
非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。,2
宝贝终于收到了，回到家就迫不及待拆开外包装，在拆开那一瞬间真的惊呆了我，太漂亮，大酷了，不愧是国产第一大品牌，太给力了，还没来得及开机，我的苹果6p该放抽屉了，希望华为越做越强越做越好。非常满意的一次购物。,2
用了十来天，感觉还行吧。满电一直玩游戏费电，能玩3个小时刺激战场，而且手机发热严重。满电自然待机能用3，4天。满电看视频一直看能看7个小时。卡槽很涩，不顺滑。电源键和音量键松得厉害，不满意。手机壳太假。前置摄像头有一个不能用，只有一个有用，不知道为什么。买回来就要更新系统。,1
这是我用过的千元机里的最拉圾的一个，用了不到3个月，没信号了，屏幕不灵了，无线网连不上了，王者荣耀玩不了，我让京东拿回去修京东客服却说修不了给退回来了给我补了50块钱，然后就被我摔成一堆拉圾了，建议你们不要买这个拉圾手机！！我就是建议啊，你们非要买的话买了以后就知道了,0
手机刚开启设置的时候很卡 在设置嘿siri界面 按屏幕没反应了，还是重启之后才好的，仔细看了看背面稍为有些划痕 倒是不是很明显，新机子原来贴的那层膜 底下还有灰尘粒，让我想起了二手京东的称号，不过幸亏都是很细小的了 其他地方都检查过了 无大碍 能接受 不过谁都喜欢完美嘛，所以这次我给3颗星的评分,1
挺不错的  拿在手里特别轻  希望电池耐用,2
买的手机连说明书都没有和保修卡也没有，之前买的什么都齐全，本想再买一部的，看来又没证件,2
一句话，性价比超高，屏幕非常好。而且可以直接装google应用。同事以为我用的是iphone x哈哈哈哈哈！拍照挺好的，除了暗光情况下，啥手机都一个样。买之前看那些评论，提心吊胆，买了之后才知道黑子真多。联想不就是做了一个，超高性价比的手机吗？可能是影响了友商，致使那些经销商，疯狂黑联想z5，真的是**烂肝的那些人，搞这样的不正当手段竞争。祸害多少想买一个便宜机子的机友？,2
买来备用得。。。。。。,0
声音响亮，电池抗用，手电筒很亮，免提声音响亮清晰，总体还算可以，毕竟价位不高，要求也不能太高了，对得起这个价格吧,2
很不错666,2
很差的一次购物，充电慢,0
刚刚收到宝贝，外观大气，耳机插孔，充电插孔都有橡胶塞，防水效果不错。店家服务态度很好，耐心解答我长达一个多小时的各种问题，这样的优质服务，老板应该给涨工资。,2
质量不错，良心商家，用了一个月多，没有发现变形，变色的问题。挺满意！,2
觉着老人机都差不多就没多看，事后才发现小米卖499你们腆着大脸就敢卖928？。。心中一万多皮什么的?。。,0
手机用了3天，总体感觉还行！打开软件太多的话，偶尔还是有点卡！照像美颜效果不错！电池早上出门到晚上基本还剩20％的电！虽然屏幕比之前的V8大一点，但手机总体尺寸却比原来的小！,2
用了第4台努比亚了，感觉Z17还没有Z11好用，最可恨的是喇叭，电影看着看着声音突然变大还杂音。,1
Thank you very much for the excellent service,2
3.大屏幕，整体尺寸小，单手握着很好。,1
手机就是牛逼！再也不担心手机没电啦,1
买来做备机的，本身是从华为mate7、mate8一直用到mate9的用户，买这台手机时考虑的是荣耀v10和一加5t，使用5t两天，觉得手机手感和外观都很不错，系统设置没有华为的系统那么人性化和智能化，不能忍受的是信号很差，整天微信显示网络连接问题，导致微信信息经常延迟收到，跟本身在用的mate9对比，通信信号和网络信号两方面功能都差一大截，待机一般般，说实话再让我选我会选v10，用过两天信号还是这样的问题会申请售后换或者退。,1
只能用移动号，怎么是全网通的呢，一般，自带内存占了15及，一般。,1
本来十一买回家给老妈的，结果手机太重了和砖头一样用着不方便，放假回来退货时间已经过了，只能留着自己以后当备用机了。手机主题重量还可以，只是电池实在太重，也许电池容量要那么大，重量就不会太轻吧，大家自己权衡一下是否合适。,1
这手机很不错，声音大，电池大。我非常喜欢。,2
悲剧的是，23再拿的时候涨价100，然后3000免100的券没了，结果到手4500+&hellip;&hellip;一百多没了，京东要不要补偿我，本来我是提起换货的，搞得我重新拍。,1
6月二十七号下单买的。七月十九号晚上手机就坏了，聊天聊到半道突然关机，（有电的情况下）然后开不了机，有时候会出来华为标，充电好像也充不进去，现在看看京东怎样解决，呼吸灯红光还在闪,1
小而轻便，声音够洪亮。但数字太小，老人家眼力看不到，很遗憾的一次购买！,2
2、从今天开始，尽量不在京东上买东西，抵制不诚信的商家，从我做起。,0
还没充电，不知道充电热不热。,2
手感不错，使用方便。价格适中，可以接受。,2
用过几天感觉手机速度就是比安卓的快。并且通过各种途径查真伪，最后结论就是真品第一次买手机，看样子我以后可以随便在京东买任何产品。京东值得信赖,2
我从买了到现在有一星期多了，我几乎把手机的各个功能用过了。内存不用说，非常大，游戏都可以安装。性能非常好，虽然是联发科的CPU，但运行游戏很稳定，我还下载了手机上号称&quot;手机CPU杀手的游戏&quot;火力全开2之开发城市，可以开中特效，我以前的oppofind7都开不了，性能很好，总的来说手机非常好。,2
这个价钱这个手机可以接受了，但不能接受的是手电筒推了几次就不亮了，拆开看是开关断了&hellip;&hellip;,0
缺点1：阴阳屏，还好我没有强迫症。,1
1、待机时间：新10没有原8好，新10如果看看书的话，至少每天一充；,1
手机挺好的，嗯，质量还可以，还挺漂亮滴。刚回来还在使用着，刚收到花，手感很好。,2
很漂亮的一款产品。很喜欢，还送了很多的东西,2
声音大，字也大，老人看的清楚，京东快递也很给力，给京东小哥打call.,2
新款的红米6Pro外观看起来不错，这款异性全面屏手机相比一般的全面屏手机外形稍微小点。适合女生使用。性价比很高的一款千元手机。骁龙625的处理器，3G+32G内存一般日常使用足够了。这款骁龙625的红米6Pro使用的是安卓8.0系统。帮朋友买的，还没测试其它的功能。红米的手机做工还不错，千元全面屏手机性价比很高的一款产品。这款手机屏幕没有测试，估计应该是国产天马的屏幕。显示效果不错。京东自营产品送货速度很快，好评！,2
速度挺快的，赞一个！昨晚下单，今晚就拿到货，包装还说有镙丝刀，那镙丝刀在哪儿？,2
三等奖，没什么好说的，价格在这里，意料之中。,0
第一次买小米手机，不知道原来小米价格这么不固定。买的时候6GB+128G是③③⑥⑨，过几天小米全部降价100（重要的事情括号说，换了个链接降价。原本的还卖那个价。）。我就郁闷了，让客服退，客服说退货重新拍。*大洋，我懒得折腾了，就当买个教训吧。小米的东西，所谓的指导价都是喳喳。,0
忠心地感谢你，让我买到了梦寐以求的宝贝，太感谢了! 　　经过我的亲身体验，这家店信誉是相当地不错。宝贝的质量更像钻石一般。太感谢了! 不要以为信誉低的卖家货质量不好。我用我的亲身经历告诉大家，掌柜服务态度非常好。商品质量也非常不错。顶你了! 　　呵呵。商品这么快就到了，还不错哦，下次来你可要优惠哦^_^,2
"讲了故事吧，我和我哥们大学毕业那时候魅族才出MX3,我们哥仨一人买了一台，当时的魅族没话说，杠杠的，还说以后都买魅族，5年过去了，我从MX3-魅蓝~PRo6~pro7换了4代了可是魅族做的真是没什么改进，我们哥仨一个已经用别的牌子了，还有一个用Pro6真的很失望。我是忠实的魅粉，不是要黑他，是希望魅族越做越好，pro6~pro7感觉没什么改观，只是外观改变了，系统流程上不去pro6，手感也是。只有背面的类似于运动手环的功能比较新颖，但是并没什么用处。希望魅族越做越好，不要寒了像我这种忠实魅粉的心。",0
手机不错?很棒！价格有点贵！买完在我家这边手机店才卖2100贵了四五百,2
勾选发现不能用，联系客服被告知&ldquo;绑定后无法退款&rdquo;,1
很不满意，客服态度也不好，还和我玩套路，幸好我有聊天截图，不然保价的钱都收不到。,0
相机拍摄不能用，能打接电话所以也没换。主要是时间问题。希望你们把好质量关,1
1.6G内存，默认开机后只有2G。,0
说句客观的话，不知是设计脑  残还是坑老年人，既然是老年人使用肯定要方便，对老年人来说不方便如下：,0
东西还可以，不过大了一点点，用起来算可以吧！,2
店家服务差,1
好好好喜欢，京东物流依然那么迅速，次日拿到，外面塑料还是京东logo，京东专供款么？？打开各种操作很顺利，从旧手机数据迁移有了手机克隆，简单方便，之前还担心新手机重新装APP很头痛，现在完全不考虑麻烦的，问题，为科技点赞，再说手感，真心很轻，很薄，侧面黑色磨砂，背面光面，比较偏瘦长型，握持手感不错，外貌协会的也很满意啦，画面流畅，分辨率画质满意，初始APP好多啊，占内存，白条三期免息，各方面品质，这个价位*分有的,2
试着给手机拍了几张照片，结论只能是俺不适合拍这种电子产品，尤其白色这种优雅感的。,2
收货，拆开包装，手机居然有裂痕，难道老人机便宜就没要求吗？,2
电池后盖卡扣有一个是坏的，而且手机通话变声太狠，完全听不出是本人的声音，塑料质感太强。几十块钱的东西懒得为一个卡扣折腾。也就买这一次！其他功能目前还没有问题！,1
oppo还说七天无理由退货，都是骗人的，还退换无忧，都是个坑，以后都不买oppo了，客服服务态度差，物流慢，几天才到&hellip;&hellip;还想五星好评，想得美！欺骗消息者,0
"屏幕锁屏异常高亮唤醒, 屏幕图标管理完全拖不动,有消息不亮屏,还卡顿,没装几个软件卡的不行,各种权限隐私协议,每个软件都要验证下权限协议 ,问过一遍又一遍,比如说 是否接受营销消息,别的地方拒绝了 这里又问,一不小心就接受了 不厌其烦,屏幕宽度不够,但是够长,还是比较别扭的,屏幕灵敏度过高,有时候你想着网上划一下,就打开应用了,哎 白瞎了还是支持国产吧.棒子这系统也不行 卡 繁琐 不人性化 细节不够,比如说贴图上的,必须点到框框以外才可以退出这个应用组. 锁屏左右划 听qq音乐 自己鬼畜的左右晃",0
运行速度，不玩游戏，没有太大感觉，但是网络真的很差啊，红米接收的挺好的，这个就是经常连不上网。,1
缺点:声音一般不怎么大，老人用就太小了，拼音查找联系人很卡很卡，直接没法查找。优点:信号好。还有生产日期2017/8,1
手机质量真好，而且颜色也好看，发货特别快，非常喜欢 值得购买。,2
还可以，神机就是好,2
用了不到半个月就坏了，换还不给换。这个那个的理由。哥们不稀罕 ，现已稀碎。这垃圾还卖。没良心！,0
用了很长一段时间了，目前没出现任何问题，降价了心里有点小难过呀,2
"应该第六个努比亚了，感觉做工没以前了好了。换之前用金立（金立电池耐用点，还有就是有隐藏图片.信息.联系人和应用软件），努比亚只是有应用加密（不能隐藏），照相是努比亚的强项，运行说六g,感觉跟4g差不多。不明白为什么哪么近就是拖到下午才送货。",1
还没拆，先好评，送货快，大品牌，支持,2
第四，店家欺骗消费者，看着是搞活动，其实是先涨价再优惠，以彰显其优惠力度，没有诚信。,0
用了一段时间来评价的，手机光线有问题会刺眼，可能是像素低，其他自带软件能删都删了就下载个微信，倒是不卡。偶尔接下电话看下微信手机电池一天一充。,1
小米8手机说的天花乱坠，实际体验却不好，尤其是相机，卡卡卡卡卡卡卡卡卡卡卡卡卡卡卡卡卡，假死机现象经常出现，需要重启解决&hellip;,1
为什么充不进电,0
质量太差了！一点都不好！！！！,0
先这样，有问题再来。,1
在买这部手机之前还对比了小米新款   一直担心很多 比如 有没有指纹识别  音质好不好   内存剩余够不够大  处理速度  电池电量   以及外观有没有小米的好看。直到我今天收到手机之后 我 觉得心里踏实了。首先外观就很高大上 一拿到手就特别喜欢而且屏幕 和背面光面观感很好而且不留手印比小米好很多 其次 指纹识别很灵敏 内存剩余48G也足够大  。我这是收到手机后用了差不多5个小时才来评价的  新款音质比以前好很多 但还有待提高，另外这新耳机接口是什么鬼 竟然和电源用同一个接口而且还得用转接线真的很无语。照相效果很好跟同价位手机比要好很多。电量我收到的时候是百分之七十  之后一直在系统升级 边听歌边下软件 用之前的手机传文件直到现在还剩余百分之三十多 连续使用5个小时 只用了百分之四十的电量 所以如果待机的话我觉得一天半没问题 。另外 努比亚新机里面又多了几个新款功能 我觉的挺实用也挺有趣的。比如软件分身和远程手机遥控手机拍照。努比亚总是能给我一些惊喜 。真的没有让我失望。这已经是第二部手机了 ，以后还会继续支持怒比亚的。也希望努比亚的技术能够更加领先 质量能够更加优越。,2
假货，手机才到，放口袋里不到6小时，手机就变成#，一直重复开机关机,0
系统有点慢，太多附带的垃圾软件了,1
3.再也不能图便宜买这种不明的杂牌子，连一个星都不想给！,0
10月28号至11月31号分别帮同事和同学在京东商城拍了三个小米5x手机，当时买的时候商品页面提示保价到双十一，买贵了退款！看到这个提示后就帮他们买了价格是1499元！没想到双十一当天这个小米5x才1199就能买到。联系在线客服和电话客服都推诿，不给解决问题，你们京东商城的诚信呢！说好的保价呢，坑啊！我是京东推广员人家才信任我让我帮他们买，没想到最后是这种情况！[/cp],1
京东超级快，快递哥非常专业热情。华为大品牌手机就是捧，外观手感牛，上网挺快，拍照清晰度萌萌哒，电池大耐用。送朋友的，特喜欢！值！,2
这是我第一部小米手机，其实在某友商新款和note5中纠结了好几天，最终选择了note5(友商那款也没货，没耐心等了)，不过note5没有让我失望，用了几天了已经，首先外观在*元机里确实很好了，算不上真正意义的全面屏，但整体看上去也是全面屏了，下巴虽然略宽，但黑色版的显不出来，屏幕效果显示很清晰，色彩也挺舒服。再说性能，这个价位这个配置，性价比非常高，cpu636看评测就是660的降频版，对我当工作机来说完全够用，打开应用和系统操作都非常流畅。电池容量大了是好，用一天还能剩余不少电量，也得益于系统优化比较省电，一晚上待机(后台全清)就掉了两个电。最后再说这个操作系统，第一次用小米，但我上手很快，毕竟之前用的也是安卓机(三星S6)，但感觉比我手上的三星用的舒服，系统很流畅，指纹识别很快，应用打开一点卡顿都没有，人脸识别还没用(*元机就不要有过多期待了，都是静态识别，识别率肯定不是太准)，我选的全屏手势操作(还有一种虚拟按键)，这才能体现出全面屏的特点，用了几天挺顺手，这点不错给小米赞一个。总体来说用了几天的note5体验很好，系统很流畅，当做工作机用的，已完全足够！,2
手机是正品，很好，非常喜欢,2
最失败的一次购物，手机是曲面，膜的背面是平面，贴在曲面屏上有翘边，客服发信息带回不回的，郁闷，别买了！,0
只能三分了，试用了一天，说说不足吧，系统更新到8.1以后，还是有很多小毛病，是系统的毛病，最严重的就是应用商店经常卡死，没错，是卡死，，当你点击下载的时候，发现屏幕不动了，没反应了，说明已经卡死了，今天一天，卡死了好多次，让我想起我当年用830跟1520，830也在京东买的，那时候wp系统真是各种短板，很多理所应当的操作都没有。没有好的系统的体验，手机就相当于费了一半了，冲着情怀去的，希望系统再优化，要不，真的凉了诺粉的心，还有包装，多填个气泡袋会更安全。,1
垃圾店 买的时候和我说移动全网通版  不插移动卡情况下用其他卡网络其他没差别   买回来根本用不了4G网络    店面写的七天无理由退换   收到货我第二天找客服  就和我说没有质量问题不给调换  别说退   换都不给你换     以前感觉京东物流啥都都挺好   这是在京东上最垃圾的一次网购,0
外观还可以，就是系统更新了，反应没有老系统快，最遗憾的一点,1
很卡，连我用了三年的S6都比不上，唉浪费一千多块钱。,1
可以直接做充电宝,2
还不错，要比想像中好多了，质量不过还可以，好评的。,2
那些给说给&ldquo;爸爸妈妈买一个用用挺好&rdquo;的买家，不要再欺骗自己了，电话不好用，只是爸妈不说给你听罢了。,0
给小孩子在学校用的，学校不能用智能机，这个可以待机7天以上，真的不错!,2
新机刚到了两天，像素一般，画质没的说确实很棒，第一次用索尼，系统流畅，桌面很干净，没有附加的其他软件,2
一般吧，vivo手机处理器总是那么的垃圾，像素确实不咋地，勉强玩玩游戏开个低画质还是可以玩的,1
不是什么三防机，其他还好吧，，百来十块钱的货，也就这样,2
"作为一个安全出身的人,用了苹果的人，用了这手机,实在是.",0
不想吐槽了，在京东买东西的售后真心无语了。没次出现问题都不知道解决，就知道忽悠人 满满套路。16号刚出售的时候还说会送礼包，送卡 到最后什么都没有。手机也不好用。。。以前很相信京东，买手机都在上面买但是这也不是一次了，真心无语。以后再也不在京东买东西了！！！,0
①速度：我不玩游戏，只看视频，买的低配4+64的，很流畅，在使用的过程中，正常运行占2.6内存。我觉得如果平均2年换一次手机，只玩一些女生的消消乐啥的小游戏，4+64的手机绰绰有余！,2
非常好，不错啊，下次还买！,2
东西回来了，就是感觉太轻了。不知道能不能用得住。手机音量挺大的。最后1月5日货才到手的，但是物流信息1月4日就签收了。,1
升级MIUI9后键盘一样会卡，游戏还是一点点卡，就是不明白没有三个卡槽两张卡一张SD卡。,2
这就是j京东的手机，11月9号4588价格买的，今天12月7号 ，早上手机收到app软件通知，怎么也滑不上去，强制关机也关不了，打电话进不去界面，app也进不去。一直卡住动不了。一个月不到的手机。垃圾京东，次评价真实有效，乱说的死全家！,0
11111111,0
包装完好的，但是竟然充电器是不配套的。,0
多处使用痕迹掉漆   以及屏幕内部有黑点 两侧彩虹纹  且左边彩虹纹宽度2-3毫米 这也正常吗 拍不出来明显屏幕就是重新加工的  手机是别人退的又拿出来卖 不合格就不合格 何必又售后跑来跑去 耽误各自时间 用户体验也不好,0
7手机的原厂贴膜太廉价，最基本的防静电都没有,0
集三功能于一体的home键，开始还不太习惯，一天下来基本适应了，确实是个不错的设计。另外，指纹，脸部识别自然没的说，流畅依旧，秒开。,2
网速有点慢有点卡。搞作不是很好。,1
综合体验挺好的，充电方面比魅族note 5充的时间要长但是也相当不错，系统方面做的挺漂亮用着也顺手64g的内存日常够用如果需要下载很多软件个人觉得128的比较好，拍照清晰，大概运行四个小时以上就会发热比较明显不适合长时间开机也就是说不太适合玩游戏，个人觉得华为的大部分产品适合商务人士，魅族适合学生，我为什么没有买同价位的魅族呢？因为我上个手机用的魅族还有魅字有点女性化所以选择了华为，用了几个小时以后综合外观，发热程度，手感，拍照，充电，运行速度这几个方在千元价位中我给四颗星的好评，这是我个人的感觉希望能给打算购入的朋友一点帮助,2
充一下电，准备用的，哪知道开机都开不了并且发烫的烫手，我吓的恨不得怕手机爆炸，然后跟他家客服联系说手机的情况，他们爱理不理的，一直在狡辩，我恨不得把聊天记录一一的截屏给客户们看，哎呀，只怪我确认收货太早啦，所以他家客服才是这态度简直无语=_=,0
外放声音会破音，比小米6差太多。,0
其它部分：比较期待的胶囊大爆.炸一步这三个功能发现自己不适合，有点尴尬。,2
使用了一段时间，除了一次自动重启外，其他都非常好。流畅、全兼容，本来也是使用小米手机的，所有的操作都很熟悉，继续做米粉！小米加油！！！,2
摄像头凸起，略可惜，大概是追求薄与高标准的摄像头的妥协设计。,2
"我是小米骨灰级铁粉，手机买过米1，米3，红米not2两台，米4，米5两台，小米note3,净水机，空气净化器，米兔，手环，助力车，鞋等等。除了米1刚开售时候排号排上了，剩下的从来没有抢到过，不是高价买就是后期抢到高配的。这次首发准备了6台设备同时从各种渠道预约，抢购。没想到这次在京东拍到首发，满脸的眼泪，多余的话不多说了。小米威武，京东威武。现在的小米手机里面还都带原装外壳，很好。",2
手机买来几天，下面几个按键就不灵了，只有重启机器后恢复，过一会又不行了。这是啥问题，其他人有碰到过吗？,0
收到的手机和我在实体店里看过的*元的一模一样，适合老年人使用，按键大，声音大，字体大，昨天下单，今天收到货了，全部好评,2
运行中规中矩，照相成像慢，照相卡顿，有时打开相机会很慢，在微信看小 shi 频有时候会没有声音，要关闭视频重新再打开才有声音，还有微信打开小 shi 频时总让选择播放器，其他问题还没发现。视频到后面注意看左下角的相册图标，就知道成像多慢。,1
好卡，才用一天就卡了两三次烦人,0
"发热过于厉害,半个小时就能有45度左右,这个价位能买到更好的拍照手机,手机握感和手柄都一般般，屏幕容易划伤。才两天就有几条划痕了，园长又不给我们贴膜。，送的那张很难贴，而且很小。，听说，贴了钢化膜就不能用手柄了。最重要的一年是信号很差。，可能是频断少的缘故。反正我这边教学楼的4g信号基本没有,手柄对我来说有没有基本一样,特别是遥感，感觉还不如用手来,太灵敏了，经常控制不好,,,,ui功能太少。 触摸芯片居然用千元机的心片",2
